message_id,customer_id,timestamp,message_text,channel,previous_tickets
MSG00000,CUST7186,2026-04-20 10:16:35.944726,Worst experience ever !!! urgent help !!!,Chat,4
MSG00001,CUST2500,2026-05-04 10:16:35.944760,Payment failed but money deducted,App,3
MSG00002,CUST4407,2026-05-09 10:16:35.944776,Cannot login to account !!! urgent help !!!,App,2
MSG00003,CUST2464,2026-05-09 10:16:35.944788,   ,Email,1
MSG00004,CUST6176,2026-04-23 10:16:35.944802,Cannot login to account,Social,3
MSG00005,CUST8423,2026-04-25 10:16:35.944817,I am unhappy with support !!! urgent help !!!,Email,0
MSG00006,CUST9028,2026-05-09 10:16:35.944829,Order stuck in transit,Email,4
MSG00007,CUST7192,2026-04-30 10:16:35.944842,I want refund immediately,Social,2
MSG00008,CUST6739,2026-04-21 10:16:35.944855,Coupon code not working !!! urgent help !!!,App,4
MSG00009,CUST7266,2026-05-18 10:16:35.944911,Need invoice for my purchase !!! urgent help !!!,App,3
MSG00010,CUST1552,2026-04-20 10:16:35.944928,   ,Email,1
MSG00011,CUST6322,2026-04-20 10:16:35.944943,No response from team !!! urgent help !!!,Email,1
MSG00012,CUST6885,2026-04-26 10:16:35.944957,My package has not arrived,Email,4
MSG00013,CUST9264,2026-04-23 10:16:35.944980,Tracking not updating !!! urgent help !!!,Chat,4
MSG00014,CUST8901,2026-05-10 10:16:35.944992,Delivery delayed again,Chat,0
MSG00015,CUST9218,2026-05-02 10:16:35.945005,Delivery delayed again,Email,0
MSG00016,CUST5926,2026-05-12 10:16:35.945025,Wrong item delivered,App,5
MSG00017,CUST8357,2026-05-15 10:16:35.945039,I was charged twice for my order !!! urgent help !!!,Social,4
MSG00018,CUST7193,2026-05-16 10:16:35.945054,Order stuck in transit !!! urgent help !!!,App,1
MSG00019,CUST3595,2026-05-04 10:16:35.945068,Worst experience ever,App,3
MSG00020,CUST6385,2026-05-10 10:16:35.945083,My package has not arrived,Email,1
MSG00021,CUST1489,2026-04-27 10:16:35.945097,Need invoice for my purchase,App,4
MSG00022,CUST7770,2026-05-19 10:16:35.945109,App is crashing !!! urgent help !!!,Social,1
MSG00023,CUST2138,2026-05-10 10:16:35.945122,Delivery delayed again,Email,3
MSG00024,CUST9967,2026-05-02 10:16:35.945134,Very bad service,App,1
MSG00025,CUST3952,2026-05-18 10:16:35.945148,Very bad service,Chat,0
MSG00026,CUST1386,2026-05-19 10:16:35.945162,I was charged twice for my order,Email,5
MSG00027,CUST5900,2026-05-20 10:16:35.945177,Payment failed but money deducted,App,4
MSG00028,CUST1738,2026-05-18 10:16:35.945191,   ,Social,5
MSG00029,CUST4843,2026-05-08 10:16:35.945204,Need invoice for my purchase,Social,5
MSG00030,CUST6518,2026-05-08 10:16:35.945217,My package has not arrived,Email,0
MSG00031,CUST1238,2026-05-16 10:16:35.945231,Coupon code not working,Email,1
MSG00032,CUST1629,2026-05-20 10:16:35.945244,My package has not arrived,Chat,2
MSG00033,CUST6666,2026-05-04 10:16:35.945260,I want refund immediately,Chat,1
MSG00034,CUST6787,2026-05-20 10:16:35.945275,Order stuck in transit,Email,5
MSG00035,CUST3437,2026-04-29 10:16:35.945288,Refund not received yet,App,5
MSG00036,CUST7268,2026-05-07 10:16:35.945305,Website not loading !!! urgent help !!!,Email,2
MSG00037,CUST5608,2026-05-03 10:16:35.945327,Password reset not working,Social,1
MSG00038,CUST9379,2026-05-19 10:16:35.945342,   ,Social,2
MSG00039,CUST5043,2026-04-24 10:16:35.945356,Worst experience ever,App,4
MSG00040,CUST6748,2026-04-25 10:16:35.945366,I want refund immediately,App,3
MSG00041,CUST9972,2026-05-01 10:16:35.945376,Password reset not working,Email,0
MSG00042,CUST8765,2026-05-02 10:16:35.945384,Wrong item delivered,Email,5
MSG00043,CUST1717,2026-04-22 10:16:35.945394,App is crashing,Chat,1
MSG00044,CUST6222,2026-05-01 10:16:35.945405,Refund not received yet,Social,4
MSG00045,CUST1585,2026-04-29 10:16:35.945414,Worst experience ever,Social,3
MSG00046,CUST9873,2026-05-03 10:16:35.945423,Order stuck in transit,Email,0
MSG00047,CUST5137,2026-05-20 10:16:35.945432,No response from team,Email,5
MSG00048,CUST4535,2026-05-09 10:16:35.945441,Payment failed but money deducted,Chat,0
MSG00049,CUST5508,2026-05-14 10:16:35.945450,Password reset not working !!! urgent help !!!,Chat,1
MSG00050,CUST2334,2026-04-27 10:16:35.945459,Worst experience ever,Social,3
MSG00051,CUST2887,2026-05-07 10:16:35.945468,Delivery delayed again !!! urgent help !!!,Chat,1
MSG00052,CUST2162,2026-04-23 10:16:35.945479,   ,Email,4
MSG00053,CUST6873,2026-05-07 10:16:35.945490,Cannot login to account !!! urgent help !!!,Email,1
MSG00054,CUST3420,2026-04-30 10:16:35.945499,I want refund immediately,App,2
MSG00055,CUST4728,2026-05-18 10:16:35.945508,App is crashing !!! urgent help !!!,Social,5
MSG00056,CUST9646,2026-04-26 10:16:35.945516,Refund not received yet,Social,0
MSG00057,CUST4859,2026-04-29 10:16:35.945526,Very bad service,Social,5
MSG00058,CUST2686,2026-05-19 10:16:35.945534,Wrong item delivered !!! urgent help !!!,App,4
MSG00059,CUST4928,2026-05-06 10:16:35.945539,Error during payment,App,2
MSG00060,CUST8281,2026-05-06 10:16:35.945542,I want refund immediately,Chat,4
MSG00061,CUST7990,2026-05-20 10:16:35.945547,Cannot login to account,Email,3
MSG00062,CUST8885,2026-05-06 10:16:35.945552,Coupon code not working,Email,5
MSG00063,CUST1758,2026-04-25 10:16:35.945558,Worst experience ever,Social,3
MSG00064,CUST5023,2026-05-12 10:16:35.945562,I am unhappy with support,App,1
MSG00065,CUST3032,2026-05-11 10:16:35.945572,Tracking not updating,App,3
MSG00066,CUST7510,2026-05-02 10:16:35.945576,Payment failed but money deducted !!! urgent help !!!,Social,0
MSG00067,CUST8402,2026-05-04 10:16:35.945580,Tracking not updating,Chat,3
MSG00068,CUST4563,2026-05-07 10:16:35.945584,Password reset not working,Social,1
MSG00069,CUST8354,2026-05-16 10:16:35.945588,Coupon code not working !!! urgent help !!!,Chat,1
MSG00070,CUST9545,2026-05-08 10:16:35.945592,Order stuck in transit,Social,4
