message_id,customer_id,message_text,intent,priority,suggested_reply,escalation_flag
MSG00000,CUST7186,Worst experience ever !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00001,CUST2500,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00002,CUST4407,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00003,CUST2464,   ,Unknown,Low,We will assist you shortly.,No
MSG00004,CUST6176,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00005,CUST8423,I am unhappy with support !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00006,CUST9028,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00007,CUST7192,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00008,CUST6739,Coupon code not working !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00009,CUST7266,Need invoice for my purchase !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00010,CUST1552,   ,Unknown,Low,We will assist you shortly.,No
MSG00011,CUST6322,No response from team !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00012,CUST6885,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00013,CUST9264,Tracking not updating !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00014,CUST8901,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00015,CUST9218,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00016,CUST5926,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00017,CUST8357,I was charged twice for my order !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00018,CUST7193,Order stuck in transit !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00019,CUST3595,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00020,CUST6385,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00021,CUST1489,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00022,CUST7770,App is crashing !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00023,CUST2138,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00024,CUST9967,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00025,CUST3952,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00026,CUST1386,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00027,CUST5900,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00028,CUST1738,   ,Unknown,Low,We will assist you shortly.,No
MSG00029,CUST4843,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00030,CUST6518,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00031,CUST1238,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00032,CUST1629,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00033,CUST6666,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00034,CUST6787,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00035,CUST3437,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00036,CUST7268,Website not loading !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00037,CUST5608,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00038,CUST9379,   ,Unknown,Low,We will assist you shortly.,No
MSG00039,CUST5043,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
